Date,Daily Test,Daily Cases,Daily Deaths,Daily Recovering,Total Intensive Care,Total Intubated
24 May,24589,1141,32,1092,769.0,385.0
25 May,21492,987,29,1321,756.0,371.0
26 May,19853,948,28,1492,739.0,338.0
27 May,21043,1035,34,1286,723.0,331.0
28 May,33559,1182,30,1576,683.0,339.0
29 May,36155,1141,28,1594,662.0,324.0
30 May,39230,983,26,1021,649.0,308.0
31 May,35600,839,25,989,648.0,287.0
1 June,31525,827,23,974,651.0,283.0
2 June,32325,786,22,974,633.0,271.0
3 June,52305,867,24,931,612.0,261.0
4 June,54234,988,21,926,602.0,265.0
5 June,57829,930,18,1622,592.0,269.0
6 June,35846,878,21,1922,591.0,264.0
7 June,35335,914,23,2647,613.0,274.0
8 June,39361,989,19,3411,625.0,261.0
9 June,37225,993,18,3218,642.0,281.0
10 June,36521,922,17,2241,631.0,280.0
11 June,49190,987,17,1021,643.0,266.0
12 June,41013,1195,15,1242,664.0,282.0
13 June,45092,1459,14,985,684.0,284.0
14 June,45176,1562,15,1330,717.0,290.0
15 June,42032,1592,18,947,722.0,291.0
16 June,46800,1467,17,1015,732.0,303.0
17 June,52901,1429,19,1261,745.0,306.0
18 June,48412,1304,21,1382,755.0,311.0
19 June,41316,1214,23,1494,769.0,310.0
20 June,41112,1248,22,1312,781.0,318.0
21 June,40496,1192,23,1412,803.0,327.0
22 June,41413,1212,24,1293,846.0,345.0
23 June,42982,1268,27,1315,893.0,362.0
24 June,53486,1492,24,1386,914.0,356.0
25 June,52303,1458,21,1472,941.0,369.0
26 June,51198,1396,19,1492,963.0,382.0
27 June,45213,1372,17,1984,984.0,366.0
28 June,48309,1356,15,1413,996.0,381.0
29 June,51014,1374,18,1214,1018.0,375.0
30 June,50492,1293,16,1302,1026.0,368.0
1 July,52313,1192,19,2311,1035.0,362.0
2 July,49714,1186,17,1543,1067.0,372.0
3 July,52141,1172,19,1313,1082.0,374.0
4 July,48248,1154,20,1214,1093.0,378.0
5 July,46414,1148,19,1188,1127.0,392.0
6 July,52193,1086,16,2315,1130.0,395.0
7 July,50545,1053,19,2297,1152.0,400.0
8 July,49302,1041,22,2219,1172.0,406.0
9 July,50103,1024,18,2879,1179.0,399.0
10 July,48787,1003,23,1493,1182.0,402.0
11 July,48813,1016,21,1334,1194.0,401.0
12 July,45232,1012,19,1298,1209.0,409.0
13 July,46492,1008,19,1156,1223.0,402.0
14 July,43231,992,20,1049,1204.0,396.0
15 July,42320,947,17,1013,1206.0,401.0
16 July,42411,933,21,1087,1213.0,394.0
17 July,41215,926,18,1014,1226.0,402.0
18 July,40943,918,17,1179,1231.0,394.0
19 July,41310,924,16,997,1246.0,398.0
20 July,43404,931,17,992,1243.0,385.0
21 July,42846,928,18,1009,1246.0,379.0
22 July,43404,902,19,1203,1244.0,381.0
23 July,43343,913,18,1151,1251.0,378.0
24 July,42986,937,17,1009,1248.0,379.0
25 July,43312,921,16,1103,1252.0,386.0
26 July,40016,927,17,1010,1249.0,387.0
27 July,45283,919,17,982,1263.0,392.0
28 July,47412,963,15,1092,1280.0,403.0
29 July,45712,942,14,996,,
30 July,43236,967,15,982,,
31 July,46492,982,17,996,,
1 August,44846,996,19,981,,
2 August,40247,987,18,978,,
3 August,41301,995,19,1003,,
4 August,46249,1083,18,994,,
5 August,53842,1178,19,1015,,
6 August,54494,1153,14,1040,,
7 August,56726,1185,15,1028,,
8 August,63842,1172,16,1082,,
9 August,61446,1182,15,1103,,
10 August,62219,1193,14,1211,,
11 August,61716,1183,15,1185,,
12 August,67237,1212,18,934,,
13 August,66892,1243,21,968,,
14 August,70192,1226,22,923,,
15 August,67214,1256,21,992,,
16 August,65956,1192,19,997,,
17 August,74846,1233,22,1002,,
18 August,82318,1263,20,942,,
19 August,87223,1303,23,1002,,
20 August,92301,1412,19,882,,
21 August,92227,1203,22,772,,
22 August,93007,1309,22,801,,
23 August,80302,1217,19,795,,
24 August,95943,1443,18,743,,
25 August,98231,1502,24,887,,
26 August,100109,1313,20,1002,,
27 August,106111,1491,26,995,,
28 August,107814,1517,36,1017,,
29 August,101414,1549,39,1003,,
30 August,91302,1482,42,1027,,
31 August,110102,1587,44,1087,,
1 September,109443,1572,47,1003,,
2 September,107927,1596,45,947,,
3 September,110225,1642,49,1211,,
4 September,117113,1612,53,1021,,
5 September,99497,1673,56,984,,
6 September,96842,1578,53,1013,,
7 September,103925,1703,57,1047,,
8 September,110565,1761,52,1093,,
9 September,111193,1673,55,943,,
10 September,107702,1512,58,1219,,
11 September,112213,1671,56,1117,,
12 September,98326,1509,48,1207,,
13 September,96097,1527,57,1102,,
14 September,112563,1716,63,1225,,
15 September,110412,1742,67,1202,,
16 September,112645,1771,63,1342,,
17 September,109985,1648,66,1143,,
18 September,111113,1771,62,1060,,
19 September,97416,1538,68,1312,,
20 September,95321,1519,61,1116,,
21 September,112942,1743,68,1202,,
22 September,114311,1692,65,1261,,
23 September,112102,1767,72,1027,,
24 September,113317,1721,74,1241,,
25 September,112885,1665,73,1318,,
26 September,102009,1511,71,1232,,
27 September,101119,1467,68,1116,,
28 September,115523,1412,65,1422,,
29 September,114940,1427,68,1452,,
30 September,112098,1391,65,1245,,
1 October,113546,1407,67,1402,,
2 October,114857,1442,63,1506,,
3 October,103219,1502,59,1211,,
4 October,104402,1429,57,1182,,
5 October,115632,1603,57,1320,,
6 October,112421,1511,55,1229,,
7 October,116608,1581,56,1355,,
8 October,117101,1615,58,1398,,
9 October,115295,1629,55,1402,,
10 October,113102,1649,56,1391,,
11 October,109301,1502,59,1212,,
12 October,115605,1614,58,1301,,
13 October,114992,1632,62,1314,,
14 October,115328,1671,57,1396,,
15 October,116103,1693,66,1311,,
